i,lid,rc,expansion,time,recall
183, 51.6672169099525, 1.416094183921814, 1.0122119188308716, 0.00016589164733886718, 0.08
184, 38.04252827609147, 1.4974429607391357, 1.0204743146896362, 0.00016222000122070312, 0.27
185, 52.441313224244595, 1.5675055980682373, 1.015283226966858, 0.00042452812194824217, 0.14
186, 56.93321428588228, 1.3498189449310303, 1.0129350423812866, 0.00017027854919433595, 0.08
187, 25.894514613440855, 1.9403735399246216, 1.0342967510223389, 0.000164031982421875, 0.48
188, 41.75973955113658, 1.311754822731018, 1.0127836465835571, 0.00020751953125, 0.2
189, 88.37166839359648, 1.2908008098602295, 1.00873863697052, 0.00017824172973632813, 0.06
190, 89.73182403717341, 1.4316107034683228, 1.0130881071090698, 0.0001842021942138672, 0.1
191, 59.54328689293389, 1.4318504333496094, 1.0129462480545044, 0.00017213821411132812, 0.34
192, 33.36198684719731, 1.6325876712799072, 1.0147227048873901, 0.000162506103515625, 0.3
193, 51.18521466692282, 1.8210400342941284, 1.0222883224487305, 0.00016226768493652344, 0.25
194, 50.50374476066126, 1.5060958862304688, 1.0169086456298828, 0.00017151832580566406, 0.06
195, 21.433709291861625, 1.8095462322235107, 1.0396466255187988, 0.00017724037170410156, 0.54
196, 33.39029456861601, 1.500017523765564, 1.0232014656066895, 0.00019354820251464843, 0.48
197, 10.438776205196827, 1.7317235469818115, 1.0398101806640625, 0.00015435218811035156, 0.58
198, 64.57182793007688, 1.442868709564209, 1.0127015113830566, 0.00015740394592285157, 0.0
199, 30.363507543235908, 1.5180531740188599, 1.026925802230835, 0.00018100738525390626, 0.0
200, 50.05743436578058, 1.473568320274353, 1.013333797454834, 0.0001651287078857422, 0.03
201, 45.00367296093514, 1.5240163803100586, 1.0159677267074585, 0.00015850067138671874, 0.15
202, 27.374232333583777, 1.3649976253509521, 1.0152667760849, 0.00016980171203613282, 0.2
203, 62.693957963163086, 1.4494438171386719, 1.010546088218689, 0.0001858234405517578, 0.26
204, 28.505453503325207, 1.4720933437347412, 1.023461103439331, 0.0001896381378173828, 0.21
205, 16.73870173886635, 1.5482797622680664, 1.0527955293655396, 0.00015439987182617188, 0.0
206, 38.502887093686894, 1.3828825950622559, 1.017959475517273, 0.0001811981201171875, 0.27
207, 15.67359967180597, 1.5707635879516602, 1.0337250232696533, 0.00016546249389648438, 0.45
208, 51.16247492372725, 1.486248254776001, 1.0124154090881348, 0.00017828941345214843, 0.01
209, 54.5719829272825, 1.3744217157363892, 1.0153075456619263, 0.0001647472381591797, 0.35
210, 56.077891832505, 1.4994049072265625, 1.0166258811950684, 0.0002254962921142578, 0.39
211, 48.68720627472074, 1.5228378772735596, 1.010125756263733, 0.00017337799072265626, 0.32
212, 28.868587983135622, 1.6007295846939087, 1.0190460681915283, 0.0001606464385986328, 0.12
213, 30.46964638498656, 1.8452532291412354, 1.0241758823394775, 0.00017189979553222656, 0.53
214, 59.54814561427689, 1.3605331182479858, 1.0135318040847778, 0.00015592575073242188, 0.03
215, 40.60589199692655, 1.5657222270965576, 1.0138864517211914, 0.00018033981323242187, 0.19
216, 38.99550850592856, 1.4260644912719727, 1.012110710144043, 0.00019598007202148438, 0.14
217, 62.34496314525242, 1.4083387851715088, 1.0139464139938354, 0.00019059181213378906, 0.14
218, 25.897489092633265, 1.7081758975982666, 1.0257517099380493, 0.00016779899597167968, 0.6
219, 63.9559013844226, 1.4243054389953613, 1.0114516019821167, 0.00017962455749511718, 0.34
220, 39.3366664787853, 1.537028431892395, 1.0187879800796509, 0.00016646385192871095, 0.39
221, 55.84225088621005, 1.7104029655456543, 1.014113426208496, 0.00014271736145019532, 0.18
222, 63.87657762440184, 1.3897604942321777, 1.0085607767105103, 0.00016350746154785155, 0.1
223, 32.09548927083695, 1.5445704460144043, 1.0280754566192627, 0.00017008781433105468, 0.45
224, 65.3895411854451, 1.2968202829360962, 1.0105535984039307, 0.0001784801483154297, 0.02
225, 72.58675187402032, 1.2587233781814575, 1.0092487335205078, 0.00017342567443847656, 0.0
226, 26.59700015137306, 1.7320985794067383, 1.023717999458313, 0.00015444755554199218, 0.53
227, 39.34609635367663, 1.4706335067749023, 1.0211859941482544, 0.00017142295837402344, 0.09
228, 86.06719310332358, 1.363936424255371, 1.0068861246109009, 0.00015606880187988282, 0.2
229, 16.21840615902085, 1.614556908607483, 1.0354887247085571, 0.0001823902130126953, 0.0
230, 35.326887580821385, 1.7006232738494873, 1.022355318069458, 0.00017561912536621094, 0.42
231, 57.92296530786257, 1.2511483430862427, 1.0107136964797974, 0.00017924308776855468, 0.04
232, 55.450001570729974, 1.480631709098816, 1.0136704444885254, 0.0001644134521484375, 0.04
233, 37.18197955285923, 1.7553550004959106, 1.0247347354888916, 0.00020055770874023439, 0.52
234, 56.21242492841163, 1.3795795440673828, 1.0120689868927002, 0.0001820087432861328, 0.15
235, 67.76899574876734, 1.457586646080017, 1.0141046047210693, 0.00017881393432617188, 0.1
236, 45.02014459593163, 1.7405139207839966, 1.0191168785095215, 0.00017113685607910155, 0.29
237, 36.1809759804272, 1.7816461324691772, 1.0246000289916992, 0.00017004013061523439, 0.46
238, 67.97314864199623, 1.371569275856018, 1.0111757516860962, 0.0001933574676513672, 0.15
239, 43.41281302210061, 1.501750111579895, 1.0123831033706665, 0.00017485618591308593, 0.1
240, 48.44896349167192, 1.7432093620300293, 1.0159847736358643, 0.00019173622131347657, 0.33
241, 86.14672355489469, 1.2645866870880127, 1.0097607374191284, 0.00018715858459472656, 0.0
242, 22.257419258774487, 1.592193365097046, 1.0236815214157104, 0.000176239013671875, 0.61
